GHGRP ID,Landfill ID,Facility.Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
,200,Lone Pine Disposal Site,CA,,End of Substation Road,Lone Pine,Inyo,93545,36.59421,-118.03495,No,Public,Los Angeles Department of Water & Power (LADWP),Inyo County Integrated Waste Management,,2087,Open,25,,,,,"100,000",2004,"2,494",2004,Unknown,Not used,No,,No,,,,No,,,,
1006107,201,Lopez Canyon SLF,CA,,11950 Lopez Canyon Road,Sylmar,Los Angeles,91342,34.29028,-118.39111,No,Public,"City of Los Angeles, Bureau of Sanitation, CA","City of Los Angeles, Bureau of Sanitation, CA",1975,1996,Closed,152,90,200,200,"19,203,287","19,103,296",1996,"570,035",1996,No,Occasionally but not every year,No,3.27,Yes,1.656,2017,48,Yes,7,,,"3 or 4 flares run 24 hr/day to burn 50% of the excess LFG.; 5/05-300 gas collection wells.; 2012-450 wells, system capacity=11400 acfm."
,202,Lost Hills SLF,CA,,14251 Holloway Road,Lost Hills,Kern,93249,35.6311,-119.75732,No,Public,"Kern County, CA","Kern County, CA",1973,,Closed,25,7,,40,"830,800","82,140",2009,"1,410",2000,Unknown,Not used,No,0.072,No,,,,No,,,,
,255,Louisiana-Pacific Disposal Site,CA,Red Bluff LF,,Red Bluff,Tehama,,,,No,Private,Louisiana-Pacific Corporation,Louisiana-Pacific Corporation,,,Unknown,,,,,,,,0,,Unknown,Not used,No,,No,,,,No,,,,
,203,Loyalton LF,CA,,"Garbage Pit Road
1 Mi E Loyalton",Loyalton,Sierra,96118,39.67,-120.22,No,Public,"Sierra County, CA","Sierra County, CA",1977,2017,Closed,21,,,,,"56,400",,"2,376",2004,Unknown,Not used,No,,No,,,,No,,,,
,204,Lucerne Valley Disposal Site,CA,,Camp Rock Road,Lucerne Valley,San Bernardino,92356,34.4307,-116.8542,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1965,1993,Closed,6,,,,"60,000","60,000",,"4,580",1992,Unknown,Not used,No,,No,,,,No,,,,
,205,Madeline Disposal Facility,CA,,,Madeline,Lassen,96119,41.05,-120.45333,No,Public,United States Bureau of Land Management,"Lassen Regional Solid Waste Management Authority, CA",,1997,Closed,10,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,206,Mariposa County SLF,CA,,5593 Hwy 49 N,Mariposa,Mariposa,95338,37.50432,-120.0058,Yes,Public,"Mariposa County, CA",,,2081,Open,40,,,,,"720,000",,"11,331",2004,Unknown,Not used,No,,No,,,,No,,,,
,336,Marsh Road LF,CA,"Menlo Park LF, Bayfront Park LF","1600 Marsh Road
North End Of Marsh Road at Bayfront Expwy",Menlo Park,San Mateo,94025,37.4929,-122.1759,No,Public,"City of Menlo Park, CA","City of Menlo Park, CA",1960,1982,Closed,160,,,,,"5,000,000",,"272,000",,Unknown,Not used,No,,Yes,1.15,,50,Yes,1,,,"6/17-From City's Nov. 2016 RFP: 1st phase in 1984, 2nd phase in 1987, 72 wells, new flare installed in 2013/2014."
,207,McCloud Community Services District LF,CA,,Timber Road,McCloud,Siskiyou,96057,41.242,-122.132,No,Public,McCloud Community Services District,McCloud Community Services District,,1995,Closed,12.5,,,,,"50,000",,"2,150",1994,Unknown,Not used,No,,No,,,,No,,,,
,208,McCourtney LF,CA,McCourtney Road Landfill,14741 Wolf Mountain Road,Grass Valley,Nevada,95949,39.1726,-121.1121,Yes,Public,County of Nevada,County of Nevada,1972,1992,Closed,60,,,,,"2,182,268",,0,,Unknown,Not used,No,,Yes,0.13968,,21.1,Yes,1,0.13968,,
,209,McFarland-Delano SLF,CA,,"Stradley Avenue
3 mi S. of Delano",Delano,Kern,93215,35.741,-119.254,No,Public,"Kern County, CA","Kern County, CA",1971,1992,Closed,37,37,60,60,"1,117,000","1,117,000",,"50,900",1991,Unknown,Not used,No,,Yes,0.086,,50,Yes,,0.086,,
1000366,210,Mead Valley Disposal Site,CA,,22376 Forrest Road,Perris,Riverside,92570,33.7957,-117.2832,No,Public,"Riverside County, CA","Riverside County, CA",1974,1997,Closed,60,55.5,,150,"2,312,837","2,312,837",,"184,386",1996,Unknown,Not used,No,0.764,Yes,0.317,2012,33.2,Yes,1,0.317,2012,"LFG collection and flaring.; 2012-48 wells, system capacity=400 acfm."
,211,Mecca LF II,CA,,"95250 66th Avenue
Box Canyon Road & Garfield Street",Mecca,Riverside,92254,33.57194,-116.00306,No,Public,"Riverside County, CA","Riverside County, CA",,,Open,19,,,,,"72,000",,"2,864",2004,Unknown,Not used,No,,No,,,,No,,,,
,212,Metro Water District - Iron Mountain,CA,Cal Compact/Metro LF,,Vidal,San Bernardino,,,,No,Public,Metro Water District of Southern CA,Metro Water District of Southern CA,1959,1965,Closed,5,,,,,"2,400",,0,,Unknown,Not used,No,,No,,,,No,,,,
1003918,338,Mid-Valley Sanitary LF,CA,Fontana Refuse Disposal Site,2390 N. Alder Avenue,Rialto,San Bernardino,92377,34.14333,-117.43,Yes,Public,"San Bernardino County, CA",BURRTEC,1958,2033,Open,410,409,300,150,"36,006,163","21,272,084",2017,"1,193,149",2017,Yes,Occasionally but not every year,No,5.09,Yes,3.43,2012,42.1,Yes,3,1.85,2012,"LFG flared 24 hrs/day; 9/10-300 wells over 220 acres, gas collection began in 1989, 3 enclosed flares.; 2012-607 wells, system capacity=5700 acfm."
1006293,213,Milliken SLF,CA,,2050 S. Milliken Avenue,Ontario,San Bernardino,91761,34.0365,-117.5583,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1957,1999,Closed,140,13.4,200,150,"17,400,000","13,973,400",,"13,000",,No,Not used,No,3.32,Yes,2.181,2017,28.4,Yes,3,,,"9/10-354 wells over 196 acres, 3 enclosed flares.; 2012-331 wells, system capacity=6000 acfm."
,10141,Mission Canyon Landfill,CA,Mission Canyon #1-3,1801 & 2501 North Sepulveda Boulevard,Los Angeles,Los Angeles,90049,34.1102,-118.4824,No,Public,"Sanitation Districts of Los Angeles County, CA",,1960,1965,Closed,444,110,,104,"5,300,000","5,300,000",1965,"1,060,000",1965,Unknown,Not used,No,,Yes,0.56,2018,,Yes,1,0.56,2018,"9/10-58 wells over 35 acres, gas collection began in 1970s, 1 enclosed flare."
,337,Mission Hills,CA,Mission Hills (Canyons 4-8); Mountaingate Project,12445 Mountaingate Drive,Los Angeles,Los Angeles,90049,34.1073,-118.4876,No,Private,American Golf Corp.; Barclay Hollander,Barclay Hollander,1960,1976,Closed,200,,,200,,"21,310,000",,0,,Unknown,Not used,No,,Yes,4,,50,Yes,,,,
,215,Mojave-Rosamond SLF,CA,,400 Silver Queen Road,Mojave,Kern,93501,34.99336,-118.13881,No,Public,"Kern County, CA","Kern County, CA",1973,2123,Open,253,27,100,40,"45,000,000","979,470",2009,"11,400",2008,Unknown,Not used,No,0.072,No,,,,No,,,,
1004550,217,Monterey Peninsula SLF,CA,Marina LF; Monterey R.W.M.D. LF,14201 Del Monte Blvd,Marina,Monterey,93933,36.71333,-121.76667,Yes,Public,"Monterey Regional Waste Management District, CA","Monterey Regional Waste Management District, CA",1966,2132,Open,315,113.6,270,120,"56,541,504","11,186,467",2017,"602,112",2017,No,Several times per year,No,3.28,Yes,2.412,2017,50.8,Yes,,,,"9/07-50 LFG wells.; 2012-76 wells, system capacity=3000 acfm.; 6/13-41 horizontal & vertical wells in the active areas of the LF (100 acres)."
,218,Morongo Disposal Site,CA,,1/2 mile East of Highway 62,Morongo Valley,San Bernardino,92256,34.0557,-116.558,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1979,1998,Closed,13.2,,,50,"43,194","43,194",,"6,204",1996,Unknown,Not used,No,,No,,,,No,,,,
,219,"NAS, Lemoore SLF",CA,,,Lemoore,Kings,,,,No,Public,United States Navy,United States Navy,,,Closed,39,,,,,"591,600",,,,Unknown,Not used,No,,No,,,,No,,,,
1004052,220,Neal Road Recycling and Waste Facility,CA,Neal Road LF,1023 Neal Road,Paradise,Butte,95969,39.67425,-121.72929,No,Public,"Butte County, CA","Butte County, CA",1970,2047,Open,140,98,,,"11,697,222","5,876,311",2017,"192,133",2017,No,Not used,No,2.04,Yes,1.519,2017,48.4,Yes,1,,,"10/11-48 wells.; 2012-57 wells, system capacity=1800 acfm, passive vents/flares too."
,221,Needles Solid Waste Disposal Site,CA,,13930 Needles Landfill Road,Needles,San Bernardino,92363,34.8526,-114.631,No,Public,"San Bernardino County, CA",City of Needles,1967,1994,Closed,50,,,,"226,944","226,944",,"1,139",1994,Unknown,Not used,No,,No,,,,No,,,,
,222,New Cuyama SLF,CA,,1/4 miles SW of New Cuyama,New Cuyama,Santa Barbara,93254,34.95,-119.7,No,Public,"Santa Barbara County, CA","Santa Barbara County, CA",,1997,Closed,8,,,,,"50,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,224,Newberry Springs Disposal Site,CA,,"Poniete Drive
3 miles South of Highway 66",Newberry Springs,San Bernardino,92365,34.791,-116.66,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1965,1991,Closed,6,,,20,"13,751","13,751",,,,Unknown,Not used,No,,No,,,,No,,,,
1006179,225,"Newby Island SLF Phases I, II, & III",CA,NISL,1601 Dixon Landing Road,Milpitas,Santa Clara,95035,37.45897,-121.94108,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1930,2041,Open,298,235,72,,"55,759,544","28,717,832",2017,"1,828,035",2017,No,Not used,No,,Yes,7.564,2017,44,Yes,2,,,"2012-144 wells, system capacity=2400 acfm.; 3/18-Over 100 new wells installed during 2015."
,226,Niland Cut & Fill Site,CA,,8450 Cuff Road,Niland,Imperial,92257,33.27111,-115.49167,No,Public,"Imperial County, CA","Imperial County, CA",1941,2041,Open,100,,,,,"50,000",2004,507,2004,Unknown,Not used,No,,No,,,,No,,,,
,228,North Belridge Solid Waste Disposal Site,CA,,,Lost Hills,Kern,93249,35.52613,-119.78603,No,Private,Aera Energy LLC,Aera Energy LLC,,2007,Closed,32,,,,,"39,761",,0,,Unknown,Not used,No,,No,,,,No,,,,
1007197,227,North County SLF,CA,North County Recycling Center and Sanitary LF,17720 East Harney Lane,Lodi,San Joaquin,95240,38.097,-121.10194,No,Public,"San Joaquin County, CA","San Joaquin County, CA",1991,2070,Open,185,55,,,"30,898,996","3,815,073",2017,"185,770",2017,Yes,Several times per year,No,,Yes,1.168,2017,51.8,Yes,,1.168,2017,"2010-7 wells, system capacity=800 acfm."
1007558,20794,North Miramar SLF,CA,,5180 Convoy Street,San Diego,San Diego,92111,32.856,-117.162,Yes,Public,"City of San Diego, CA",,1973,1983,Closed,,,,,"6,901,184","6,901,184",1983,"627,380",1983,No,Not used,No,,Yes,0.913,2017,51.4,Yes,2,0.27,2016,
,229,Oasis Disposal Site,CA,Oasis SLF,84-505 84th Avenue,Oasis,Riverside,92274,33.439,-116.0815,No,Public,"Riverside County, CA","Riverside County, CA",,2019,Open,23.3,,,,,"100,000",2004,4,2004,Unknown,Not used,No,,No,,,,No,,,,
,230,Ocotillo Cut & Fill,CA,,,Ocotillo,Imperial,92274,32.733334,-116,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2005,Closed,40,,,,,"25,000",2004,1,2004,Unknown,Not used,No,,No,,,,No,,,,
1002320,232,Olinda Alpha SLF,CA,Olinda SLF,1942 N. Valencia Avenue,Brea,Orange,92823,33.93361,-117.84361,No,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1960,2021,Open,453,420,415,235,"96,736,556","81,609,941",2017,"2,815,733",2017,No,Not used,No,15.6,Yes,13.824,2014,51.4,Yes,2,,,"LFG is flared 24/7.; 2/03-2 enclosed flares.; 2012-416 wells, system capacity=12600 acfm."
,2162,"Operating Industries, Inc. LF (OII)",CA,Monterey Park Landfill,"900 Potrero Grande Drive
End of Greenwood Avenue",Monterey Park,Los Angeles,91754,34.031,-118.108,No,Private,"Operating Industries, Inc.",,1948,1984,Closed,,190,,,,"29,920,000",,"613,000",1983,Unknown,Not used,No,,Yes,3.34,,35,Yes,,2.98,,5/05-250 gas collection wells.
,233,Orange Avenue Disposal Inc.,CA,"""Mount Trashmore""",3280 South Orange Avenue,Fresno,Fresno,93725,36.68694,-119.76306,Yes,Private,Caglia Environmental,,1941,2007,Closed,29,,,,,"1,000,000",2004,"33,315",2004,Unknown,Not used,No,,Yes,0.216,2016,49.5,Yes,,,,1/17-Active GCCS with 16 vertical wells.
,234,Oro Grande LF,CA,,19409 National Trails Highway,Oro Grande,San Bernardino,92368,34.634,-117.307,No,Private,Riverside Cement Co.,Riverside Cement Co.,,1993,Closed,161,,,,,"3,000,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
1008030,236,Otay LF,CA,,1700 Maxwell Road,Chula Vista,San Diego,91911,32.604,-117.005,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1963,2028,Open,230,230,,,"49,177,036","38,226,291",2017,"1,619,867",2017,No,Not used,No,11.4,Yes,7.89,2012,43.9,Yes,1,,,"5/05-50 gas collection wells.; 2012-291 wells, system capacity=9308 acfm.; 5/14-(2) enclosed flares: Perennial and John Zink."
1007112,238,Ox Mountain SLF,CA,Corinda Los Trancos SLF,12310 San Mateo Road,Half Moon Bay,San Mateo,94019,37.499,-122.412,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1977,2040,Open,191,160,300,226,"41,729,278","32,809,849",2017,"1,197,053",2017,Yes,Occasionally but not every year,No,9.13,Yes,5.358,2017,51.1,Yes,3,,,"9/10-214 wells over 159 acres, 3 enclosed flares.; 2012-144 wells, system capacity=5979 acfm."
1005092,56,Oxnard Landfills,CA,Bailard LF; Coastal LF; Santa Clara LF; Oxnard Power Station,4105 West Gonzales Road,Oxnard,Ventura,93036,34.22857,-119.22435,No,Public,"City of Oxnard, CA; Ventura Regional Sanitation District, CA","Ventura Regional Sanitation District, CA",1962,1996,Closed,,158,90,,"10,201,738","9,244,631",1996,"295,729",1996,No,Not used,No,2.47,Yes,0.91,2017,32,Yes,1,0.91,2017,"2012-217 wells, system capacity=3000 acfm."
1005865,332,Palo Alto LF,CA,City of Palo Alto Refuse Disposal Site,2830 Embarcadero Road,Palo Alto,Santa Clara,94303,37.45,-122.105,Yes,Public,"City of Palo Alto, CA","City of Palo Alto, CA",1955,2011,Closed,126,126,45,,"5,825,175","5,825,175",2011,"19,286",2011,No,Not used,No,1.34,Yes,0.453,2017,37.2,Yes,,,,"2012-107 wells, system capacity=3000 acfm."
,242,Palo Verde Cut & Fill Site,CA,,,Palo Verde,Imperial,92266,33.35,-118.316667,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2013,Closed,40,,,,,"50,000",2004,12,2004,Unknown,Not used,No,,No,,,,No,,,,
1003361,1780,Palos Verdes Landfill,CA,,25680 Hawthorne Boulevard,Rolling Hills Estates,Los Angeles,90274,33.79189,-118.35243,No,Public,"Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",1952,1980,Closed,291,29.9,200,,,"24,048,240",1980,"1,385,091",1980,No,Not used,No,15.5,Yes,6.738,2017,20,Yes,6,,,"9/10-276 wells over 256 acres, gas collection began in 1973, 6 enclosed flares.; 2012-441 wells, system capacity=13100 acfm."
,21148,Pebbly Beach Disposal Site,CA,Pebbly Beach Landfill,1 Dump Road,Avalon,Los Angeles,90704,33.329985,-118.309585,No,Public,"City of Avalon, CA",Avalon Environmental Services,,2027,Open,5.6,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,347,Penrose LF,CA,Penrose Pit,8251 - 8301 Tujunga Avenue,Sun Valley,Los Angeles,91352,34.2186,-118.3816,No,Private,"Los Angeles By-Products, Inc.","Los Angeles By-Products, Inc.",1960,1988,Closed,72,,200,,,"9,000,000",,0,,Unknown,Not used,No,,Yes,3,,50,Yes,1,0,,
,244,Phelan Refuse Disposal Site,CA,,10130 Buckwheat Road,Phelan,San Bernardino,92371,34.4343,-117.6075,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1956,1997,Closed,30,,,20,"594,000","445,500",,"20,037",1997,Unknown,Not used,No,,No,,,,No,,,,
,245,Picacho Cut and Fill Site,CA,,,Winterhaven,Imperial,,,,No,Private,Quechan Indian Tribe Council,"Imperial County, CA",,,Unknown,50,,,,,"76,800",,829,2004,Unknown,Not used,No,,No,,,,No,,,,
,246,Pitchess Honor Rancho LF,CA,Pitchess Detention Center,,Saugus (Santa Clarita),Los Angeles,91355,,,No,Public,Los Angeles County Sherriff's Department,Los Angeles County Sherriff's Department,,1992,Closed,73,,,,,"75,000",,"5,520",,Unknown,Not used,No,,No,,,,No,,,,
,248,Ponderosa SLF,CA,,17219 Ponderosa Way,Brownsville,Yuba,95919,39.46667,-121.29,No,Public,United States Bureau of Land Management,"Yuba County Public Works, CA",,1994,Closed,221,,,,,"4,128,000",,"1,666",1991,Unknown,Not used,No,,No,,,,No,,,,
,249,Portola LF,CA,,"Off Hwy 70
1.5 Mi Ne Portola",Portola,Plumas,96122,39.824,-120.449,No,Public,"City of Portola, CA","City of Portola, CA",,2002,Closed,8,,,,,"135,000",,750,2002,Unknown,Not used,No,,No,,,,No,,,,
1007345,250,Potrero Hills SLF,CA,,3675 Potrero Hills Lane,Suisun City,Solano,94585,38.22333,-121.97778,Yes,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1986,2080,Open,190,148,,,,"18,552,642",2017,"1,195,731",2017,Yes,Several times per year,No,,Yes,5.04,2012,53.6,Yes,,,,"2012-80 wells, system capacity=1500 acfm."
1002106,251,Prima Deshecha SLF,CA,,32250 La Pata Avenue,San Juan Capistrano,Orange,92675,33.48654,-117.62491,No,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1976,2067,Open,697,240,430,210,"119,092,732","21,755,080",2017,"576,662",2017,No,Not used,No,4.76,Yes,4.32,2017,52,Yes,1,1.08,2017,"2012-158 wells, system capacity=6000 acfm."
1003199,352,Puente Hills LF,CA,Puente Hills (PERG); San Gabriel Valley Dump,2800 S. Workman Mill Road,Whittier,Los Angeles,90601,34.02033,-118.00604,No,Public,"Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",1957,2013,Closed,,590,,229.5,"142,400,000","142,250,454",2013,"2,135,318",2013,No,Not used,No,45.4,Yes,26.745,2017,37.1,Yes,26,,,"5/04- >1,000 wells, 55 miles of underground trenches, and 30 miles of collection pipes.; 9/10-1,923 wells over 626 acres, gas collection began in 1980, 26 enclosed flares.; 2012-1508 wells, system capacity=45000 acfm."
,252,Pumice Valley SLF,CA,,200 Dross Road,Lee Vining,Mono,93541,37.90694,-119.06528,No,Public,,"Mono County, CA",,2036,Open,40,,,,,"55,800",,224,2004,Unknown,Not used,No,,No,,,,No,,,,
1004243,253,Ramona Avenue Landfill,CA,,20630 Pamo Road,Ramona,San Diego,92065,33.085,-116.863,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1962,2009,Closed,46,46,,,,"947,800",2002,"81,427",2004,Unknown,Not used,No,0.872,Yes,0.589,2012,35.1,Yes,,0.589,2012,"2010-43 wells, system capacity=1800 acfm."
,254,Ravendale Disposal,CA,,,Ravendale,Lassen,96123,40.79222,-120.37083,No,Public,"Lassen Regional Solid Waste Management Authority, CA","Lassen Regional Solid Waste Management Authority, CA",,1997,Closed,3,,,,,"11,616",,,,Unknown,Not used,No,,No,,,,No,,,,
1005042,54,Recology Hay Road LF,CA,"B&J Drop Box SLF Inc.; Hay Road Landfill, Inc.",6426 Hay Road,Vacaville,Solano,95687,38.31497,-121.83164,Yes,Private,Recology,Recology,1964,2057,Open,256,122.8,80,,"20,391,489","5,766,516",2017,"698,308",2017,No,Occasionally but not every year,No,,Yes,1.499,2017,51.1,Yes,,,,"1/05-GCCS to be installed in 2011.; 2012-44 wells, system capacity=1500 acfm."
1004745,1976,Recology Ostrom Road LF,CA,,5900 Ostrom Road,Wheatland,Yuba,95692,39.07171,-121.3925,No,Private,Recology,Recology,1995,2084,Open,225,68.1,100,,"27,629,965","4,834,340",2017,"249,062",2017,No,Occasionally but not every year,No,1.84,Yes,1.787,2017,50.4,Yes,1,,,"1/05-GCCS to be installed in 2006.; 2/10-New flare/blower station in 2008/09.; 2012-3 wells, system capacity=1500 acfm.; From 2010 permit renewal: Enclosed flare is Perrenial Energy Model GHS-1500-60, Serial No. GHS-1560."
1005041,239,Recology Pacheco Pass LF,CA,,3665 Pacheco Pass Highway,Gilroy,Santa Clara,95020,36.99577,-121.4789,Yes,Private,Recology,Recology,1950,2007,Closed,,66,170,,,"1,316,000",2004,"15,000",2004,Unknown,Not used,No,0.794,Yes,0.679,2012,41.2,Yes,,0.679,2012,"2012-72 wells, system capacity=700 acfm."
1004959,329,Recology Yuba-Sutter Landfill,CA,"Yuba-Sutter Disposal Inc., Yuba Sutter Disposal",3001 North Levee Road,Marysville,Yuba,95901,39.1671,-121.55708,Yes,Private,Recology,Recology,1967,1996,Closed,,166,50,,,"2,200,000",,"118,020",1996,Unknown,Not used,No,0.938,Yes,0.469,2016,28.8,Yes,,0.469,2016,"LFG mitigation control system to be installed 1998.; 5/01-2 collection systems (one is active/flaring, other is passive/venting).; 2012-79 wells, system capacity=750 acfm."
,257,Red Hill SLF,CA,,5314 Red Hill Road,Vallecito,Calaveras,95251,38.07333,-120.49167,No,Public,"Calaveras County, CA","Calaveras County, CA",,1990,Closed,17,,,,,,,"100,000",,Unknown,Not used,No,,No,,,,No,,,,
1007668,258,Redwood SLF,CA,,8950 Redwood Highway,Novato,Marin,94945,38.1661,-122.57922,Yes,Private,"Waste Management, Inc.","Waste Management, Inc.",1958,2034,Open,,222.5,,,"23,813,076","15,325,890",2017,"437,994",2017,No,Not used,No,4.43,Yes,3.946,2017,50.7,Yes,,,,"2012-107 wells, system capacity=6200 acfm."
1002897,260,Ridgecrest-Inyokern SLF,CA,,3301 Bowman Road,Ridgecrest,Kern,93555,35.60254,-117.73755,No,Public,"Kern County, CA","Kern County, CA",1969,2042,Open,91,78,70,50,"11,167,924","3,013,520",2008,"58,615",2008,Unknown,Not used,No,0.534,Yes,0.131,2012,,Yes,,0.131,2012,"2010-10 wells, system capacity=150 acfm."
,261,Rio Vista SLF,CA,,Airport Road,Rio Vista,Solano,94571,38.1775,-121.68944,No,Public,State Reclamation Board,Rio Vista Sanitation Service,,1992,Closed,12,,,,,"100,000",,"3,392",,Unknown,Not used,No,,No,,,,No,,,,
,262,Rock Creek LF,CA,,12021 Hunt Road,Milton,Calaveras,95252,38.03535,-120.8418,No,Public,"Calaveras County, CA","Calaveras County, CA",1990,2032,Open,57,,,,,"470,515",2004,"47,825",2004,Unknown,Not used,No,,No,,,,No,,,,
,263,Rogers Creek,CA,,,Somes Bar,Siskiyou,,,,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1995,Closed,1,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,266,Salton City Cut & Fill Site,CA,,935 W. Highway 86,Salton City,Imperial,92275,33.22944,-115.98611,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2019,Open,4,,,,,"50,000",2004,"1,264",2004,Unknown,Not used,No,,No,,,,No,,,,
,267,San Antonio South Shore Disposal Site,CA,Lake San Antonio South Shore LF,,Bradley,Monterey,93426,35.83333,-120.97167,No,Public,"Monterey County, CA","Monterey County, CA",,1991,Closed,55,,,,,"18,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,21149,San Clemente Island Landfill,CA,,San Clemente Ridge Road and Reservoir Road,San Clemente Island,Los Angeles,,32.964782,-118.538887,No,Public,United States Navy,United States Navy,1979,2037,Open,15,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1006215,268,San Marcos LF,CA,,1595 San Elijo Road,San Marcos,San Diego,92078,33.07833,-117.165,No,Public,"County of San Diego, CA","County of San Diego, CA",1979,1997,Closed,107,102,400,,"12,902,208","12,902,208",1997,"679,064",1997,No,Not used,No,2.8,Yes,1.731,2017,44.7,Yes,,,,"2012-123 wells, system capacity=4139 acfm."
,240,San Nicolas Island LF,CA,Pacific Missile Test Center LF,,Point Mugu (Mil Res),Ventura,93035,33.24778,-119.50472,No,Public,United States Navy,United States Navy,,1991,Closed,6,,,,,"50,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,269,San Onofre LF,CA,,2.7 Mi E Basilone Gate,Camp Pendleton (Mil Res),San Diego,92672,33.39667,-117.54028,No,Public,United States Marine Corps,United States Marine Corps,1974,2257,Open,21,,,,,"238,200",,"1,758",,Unknown,Not used,No,,No,,,,No,,,,
1004692,270,San Timoteo Solid Waste Disposal Site,CA,San Timoteo Sanitary Landfill,31 Refuse Road,Redlands,San Bernardino,92373,34.0117,-117.2133,Yes,Public,"San Bernardino County, CA","San Bernardino County, CA",1980,2043,Open,127,75.1,250,50,"12,239,602","6,844,500",2009,"298,911",2017,Yes,Occasionally but not every year,No,1.58,Yes,0.946,2017,32.6,Yes,1,0.946,2017,"9/10-75 wells, gas collection began ~1999, 1 enclosed flare.; 2012-67 wells, system capacity=2100 acfm."
1004882,113,Santa Maria Regional Landfill,CA,City of Santa Maria Refuse Disposal Site,2065 E. Main Street,Santa Maria,Santa Barbara,93454,34.9525,-120.3831,No,Public,"City of Santa Maria, CA","City of Santa Maria, CA",1955,2022,Open,245,224.5,,,"10,010,569","5,692,259",2017,"112,182",2017,No,Not used,No,,Yes,1.3,2017,43.5,Yes,,,,"2012-66 wells, system capacity=2567 acfm."
,1792,Santa Monica Landfill,CA,City of Santa Monica LF #2,,Santa Monica,Los Angeles,,,,No,Public,,,,1975,Closed,15,,,,,"200,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
1002318,273,Santiago Canyon SLF,CA,,3099 Santiago Canyon Road,Orange,Orange,92862,33.77639,-117.74111,No,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1968,2000,Closed,113,112.6,270,270,"13,524,435","13,524,431",2000,"3,314",2000,No,Not used,No,3.62,Yes,1.368,2017,34.6,Yes,,1.368,2017,"2012-121 wells, system capacity=2448 acfm."
1005782,116,Savage Canyon LF,CA,,13919 East Penn Street,Whittier,Los Angeles,90602,33.9799,-118.0171,No,Public,"City of Whittier, CA","City of Whittier, CA",1935,2048,Open,132,102,,,"9,738,383","4,291,008",2017,"88,571",2017,No,Not used,No,,Yes,1.008,,41.5,Yes,,,,"2012-148 wells, system capacity=2000 acfm."
1003198,274,Scholl Canyon SLF,CA,,3001 Scholl Canyon Road,Glendale,Los Angeles,91206,34.15188,-118.19673,No,Public,"City of Glendale, CA; Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",1961,2035,Open,440,211,375,300,"33,305,699","32,886,801",2017,"461,557",2017,No,Not used,No,9.67,Yes,9.08,2013,35.9,Yes,12,,,"9/10-194 wells over 211 acres, gas collection began in 1985, 12 enclosed flares.; 2012-136 wells, system capacity=7300 acfm.; 7/14-Flares installed 1984-1991."
